Country,Population 2025,Area (Km^2),Density,Change (%),Global Population (%),Rank
Andorra,82904.0,468.0,176,1.18,0.01,203
Cayman Islands,75844.0,264.0,316,1.86,0.01,204
Dominica,65871.0,751.0,88,-0.5,0.01,205
Bermuda,64555.0,54.0,"1,195",-0.13,0.01,206
Guernsey,64477.0,78.0,"1,023",0.31,0.01,207
Faroe Islands,56002.0,1400.0,41,1.09,0.01,208
Greenland,55745.0,2200000.0,0.14,-0.17,0.01,209
Saint Kitts and Nevis,46922.0,261.0,180,0.17,0.01,210
Turks and Caicos Islands,46855.0,948.0,49,0.69,0.01,211
American Samoa,46029.0,199.0,230,-1.57,0.01,212
Sint Maarten,43923.0,34.0,"1,292",1.32,0.01,213
Northern Mariana Islands,43541.0,464.0,95,-1.66,0.01,214
Liechtenstein,40128.0,160.0,251,0.65,0.01,215
Gibraltar,40126.0,7.0,"5,901",2.03,0.01,216
British Virgin Islands,39732.0,151.0,265,0.66,0.01,217
Monaco,38341.0,2.0,"19,171",-0.75,0.01,218
Marshall Islands,36282.0,181.0,202,-3.37,0.01,219
San Marino,33572.0,61.0,560,-0.03,0.01,220
Saint Martin,24941.0,53.0,499,-4.55,0.01,221
Palau,17663.0,459.0,38,-0.18,0.01,222
Anguilla,14728.0,91.0,162,0.89,0.01,223
Cook Islands,13263.0,240.0,55,-3.39,0.01,224
Nauru,12025.0,21.0,601,0.65,0.01,225
Saint Barthelemy,11414.0,21.0,457,1.39,0.01,226
Wallis and Futuna,11194.0,274.0,41,-0.74,0.01,227
Tuvalu,9492.0,26.0,316,-1.6,0.01,228
Saint Pierre and Miquelon,5574.0,242.0,23,-0.96,0.01,229
Montserrat,4359.0,102.0,43,-0.68,0.01,230
Falkland Islands,3469.0,12200.0,0.28,-0.03,0.01,231
Tokelau,2608.0,12.0,261,4.07,0.01,232
Niue,1821.0,261.0,7,0.11,0.01,233
Vatican City,501.0,1.0,"1,139",1.01,0.01,234
